medcode	readterm	type
102768	Did not attend diabetes foot screening	0
67664	Education score - diabetes	0
100436	Education in self management of diabetes	0
94699	Diabetes treatment satisfaction questionnaire	0
6430	Attending diabetes clinic	0
104374	Provision of diabetes clinical summary	0
10642	Dietary advice for diabetes mellitus	0
94011	Attended XPERT diabetes structured education programme	0
94956	Did not complete XPERT diabetes structured education program	0
105585	Diabetes clinical pathway	0
95094	Did not complete diabetes structured education programme	0
7795	Diabetes mellitus with neuropathy	0
107508	Conversion to insulin by diabetes specialist nurse	0
61523	Other specified diabetes mellitus with neurological comps	0
18766	Diabetes resolved	0
94955	Did not attend XPERT diabetes structured education programme	0
100422	Discharged from diabetes shared care programme	0
46290	Other specified diabetes mellitus with multiple comps	0
72345	Diabetes mellitus NOS with hyperosmolar coma	0
63412	Diabetes clinical management plan	0
94186	Diabetes structured education programme completed	0
10098	Other specified diabetes mellitus with other spec comps	0
6813	H/O: diabetes mellitus	0
108993	Diabetes self-management plan agreed	0
93870	Referral to XPERT diabetes structured education programme	0
44312	Informed dissent for diabetes national audit	0
107423	Diabetes self-management plan review	0
113594	Diabetes Distress Scale 2 item	0
47377	Other specified diabetes mellitus with ophthalmic complicatn	0
94330	Referral to diabetes special interest general practitioner	0
13194	Diabetes monitoring 1st letter	0
20900	Diabetes monitored	0
68546	Diabetes clinic satisfaction questionnaire	0
93854	Diabetes structured education programme declined	0
106360	Erectile dysfunction due to diabetes mellitus	0
34528	Diabetes well being questionnaire	0
50937	Referral to diabetes preconception counselling clinic	0
31241	Diabetes monitoring admin.NOS	0
64357	Diabetes mellitus NOS with unspecified complication	0
12675	Diabetes: shared care programme	0
33343	Diabetes mellitus with other specified manifestation	0
59288	Other specified diabetes mellitus with coma	0
101190	Declined consent for diabetes year of care programme	0
18056	Foot abnormality - diabetes related	0
7045	H/O: Admission in last year for diabetes foot problem	0
103743	Diabetes care plan declined	0
28856	Transition of diabetes care options discussed	0
8306	Referral to diabetes nurse	0
38986	Diabetes mellitus with no mention of complication	0
105207	Referral to community diabetes clinic	0
98954	Diabetes treatment satisfaction questionnaire	0
2471	Nephrotic syndrome in diabetes mellitus	0
13195	Diabetes monitoring 2nd letter	0
110511	Recommendation self-refer for diabetes structured education	0
13192	Diabetes monitor. check done	0
107414	Diabetes structured education programme not available	0
82474	Referral to community diabetes specialist nurse	0
45491	Diabetes mellitus with unspecified complication	0
38078	Understands diet - diabetes	0
107361	Education about diabetes and driving	0
110087	Provision of written information about diabetes and high BP	0
70821	Diabetes mellitus NOS with other specified manifestation	0
17067	Autonomic neuropathy due to diabetes	0
11848	Renal diabetes	0
50972	Diabetes mellitus NOS with no mention of complication	0
99628	[X]Glomerular disorders in diabetes mellitus	0
112365	[X]Pre-existing diabetes mellitus, unspecified	0
11471	Diabetes medication review	0
97281	Seen by general practitioner special interest in diabetes	0
107603	Diabetes mellitus in remission	0
47011	Referral to diabetes structured education programme	0
64283	Other specified diabetes mellitus with unspecified comps	0
31141	Diabetes monitor.phone invite	0
91164	CSQ - Diabetes clinic satisfaction questionnaire	0
55431	Pre-existing diabetes mellitus, unspecified	0
22130	Diabetes monitoring default	0
107464	Diabetes Year of Care annual review	0
109806	Discharge from secondary care diabetes service	0
