medcodeid	term	snomedctconceptid	snomedctdescriptionid	type
2338051000000112	Diabetes Distress Scale 17 item score	910931000000101	2341461000000112	0
764191000006112	Foot abnormality - diabetes related	280137006	417658010	0
616731000006114	Diabetes monitoring first letter	185756006	285754012	0
3513752015	Absence of lower limb due to diabetes mellitus	735200002	3513752015	0
292478012	Other specified diabetes mellitus with ketoacidosis	420422005	2616611010	0
1987971000006114	X-PERT First Steps diabetes self-management programme completed	1033281000000100	2645821000000114	0
1164191000000111	Education about self management of diabetes	698610002	2974927015	0
1759911000000118	Diabetes care plan declined	787061000000100	1759911000000118	0
14077691000006113	Mild nonproliferative retinopathy due to diabetes mellitus	312903003	3779914017	0
856771000006110	Patient has been told has diabetes	856771000006106	856771000006110	0
14084091000006117	Disorder of nervous system due to diabetes mellitus	422088007	3788922010	0
11633221000006116	ADM - atypical diabetes mellitus	530558861000132104	3334355014	0
14071361000006118	Preproliferative retinopathy due to diabetes mellitus	193349004	3780170018	0
6872991000006113	Referral to diabetes structured education program	415270003	2533109016	0
1065811000000118	Discharged from diabetes shared care programme	494961000000102	1065811000000118	0
8267081000006115	Diabetes monitoring injection site not checked	819331000000104	2134341000000111	0
308110013	Pre-existing diabetes mellitus	385051000000106	760131000000111	0
978651000006118	Family/carer referral to diabetes structured education programme	414230000	2532984015	0
14072591000006111	Disorder of macula due to diabetes mellitus	232020009	3778077010	0
2586731000000110	Under care of community-based diabetes specialist nurse	1024571000000100	2586731000000110	0
14056961000006112	Ketoacidotic coma due to diabetes mellitus	26298008	3873331013	0
12623631000006115	Referral to online diabetes structured education programme	1108731000000100	2774601000000111	0
8098981000006111	Referral to XPERT (expert patient education versus routine treatment) diabetes structured education programme	306771000000105	1678451000000111	0
14071331000006110	Chronic painful neuropathy due to diabetes mellitus	193184006	3789545016	0
14077701000006113	Moderate nonproliferative retinopathy due to diabetes mellitus	312904009	3780068012	0
264723013	Diabetes: practice programme	170774007	264723013	0
2116661000000116	Referral to community diabetes service	811391000000104	2116661000000116	0
616711000006115	Diabetes monitoring verbal invite	185759004	285757017	0
932641000006116	Diabetes with coma	630521000000101	932641000006116	0
881471000006115	Diabetes with coma	26298008	881471000006115	0
8099221000006113	Did not complete expert patient education versus routine treatment diabetes structured education programme	307021000000105	547531000000111	0
7728071000006113	Referral to diabetes service	715159005	3301740017	0
14084121000006118	Skin ulcer due to diabetes mellitus	422183001	3850123012	0
14071371000006113	Advanced maculopathy due to diabetes mellitus	193350004	3778080011	0
4392221000006118	Peripheral angiopathy due to diabetes mellitus	127014009	3313388015	0
12121371000006111	Diabetes structured education programme offered	1103691000000102	2762991000000111	0
11931121000006112	Diabetes Distress Scale 17 item	909441000000109	2338051000000112	0
19931010	Brittle diabetes	11530004	19931010	0
